Export;EXP-2023-01 (20230707 10:27);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10136;NL10137;NL10227;NL10230;NL10235;NL10236;NL10237;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10445;NL10448;NL10520;NL10537;NL10538;NL10544;NL10547;NL10548;NL10549;NL10620;NL10631;NL10633;NL10636;NL10639;NL10641;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704
Periode;20100101 00:00 - 20110101 00:00;;;BeheerderMeetStation;DCMR;DCMR;DCMR;DCMR;DCMR;DCMR;DCMR;DCMR;DCMR;DCMR;DCMR;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;RIVM;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam;GGD A'dam
Bron;https://data.rivm.nl/data/luchtmeetnet;;;StationsNaam;Botlek-Spoortunnel;Hoogvliet-Leemkuil;Pernis-Soetemanweg;Rotterdam Zuid-Pleinweg;Rotterdam Zuid-Zwartewaalstraat;Ridderkerk-Hogeweg;Rotterdam-Oost Sidelinge A13;Rotterdam Noord -Statenweg;Schiedam-Alphons Arienstraat;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Posterholt-Vlodropperweg;Vredepeel-Vredeweg;Wijnandsrade-Opfergeltstraat;Heerlen-Looierstraat;Heerlen-Deken Nicolayestraat;Budel-Toom;Biest Houtakker-Biestsestraat;Huijbergen-Vennekenstraat;Eindhoven-Genovevalaan;Eindhoven-Noordbrabantlaan;Breda-Bastenakenstraat;Moerdijk-Julianastraat;Fijnaart-Zwingelspaansedijk;Veldhoven-Europalaan;Zierikzee-Lange Slikweg;Philippine-Stelleweg;Den Haag-Rebecquestraat;Schipluiden-Groeneveld;Rotterdam-Schiedamsevest;Vlaardingen-Floreslaan;Westmaas-Groeneweg;Dordrecht-Frisostraat;Dordrecht-Bamendaweg;De Zilk-Vogelaarsdreef;Den Haag-Veerkade;Rotterdam-Bentinckplein;Amsterdam-Florapark;Haarlem-Amsterdamsevaart;Wieringerwerf-Medemblikkerweg;Amsterdam-Prins Bernhardplein;Hilversum-J. Gerardtsweg;Bussum-Ceintuurbaan;Laren-Jagerspad;Cabauw-Zijdeweg;Biddinghuizen-Hoekwantweg;Zegveld-Oude Meije;Utrecht-Kardinaal de Jongweg;Utrecht-Constant Erzeijstraat;Breukelen-Snelweg;Eibergen-Lintveldseweg;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Hellendoorn-Luttenbergerweg;Barsbeek-De Veenen;Balk-Trophornsterweg;Valthermond-Noorderdiep;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd;Amsterdam-Haarlemmerweg;Amsterdam-Nieuwendammerdijk;Amsterdam-Einsteinweg;Amsterdam-Van Diemenstraat;Amsterdam-Vondelpark;Amsterdam-Stadhouderskade;Amsterdam-Oude Schans;Amsterdam-Jan van Galenstraat;Amsterdam-Kantershof (Zuid Oost);Amsterdam-Sportpark Ookmeer (Osdorp);IJmuiden-Kanaaldijk;Wijk aan Zee-Burgemeester Rothestraat;Badhoevedorp-Sloterweg;Hoofddorp-Hoofdweg;Oude Meer-Aalsmeerderdijk;Zaandam-Wagenschotpad;Amsterdam-Spaarnwoude;Amsterdam-Hoogtij
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;Latitude,Longitude;(51.870069,4.318061);(51.867411,4.355242);(51.887869,4.388808);(51.891147,4.48069);(51.893617,4.487528);(51.869431,4.580058);(51.938472,4.430692);(51.927111,4.461344);(51.921389,4.401389);(51.932039,4.228025);(51.977803,4.121944);(51.119194,6.042399);(51.54052,5.85307);(50.902281,5.881748);(50.887959,5.970496);(50.88487,5.977283);(51.26671,5.56116);(51.51844,5.14845);(51.434443,4.359835);(51.468662,5.47235);(51.444157,5.444833);(51.60308,4.781016);(51.699389,4.623598);(51.653729,4.515271);(51.407365,5.393328);(51.634706,3.916623);(51.294498,3.749484);(52.077148,4.289185);(51.992621,4.280673);(51.914233,4.479923);(51.910474,4.326303);(51.786579,4.450529);(51.80439,4.67018);(51.800658,4.708239);(52.296556,4.510817);(52.075071,4.315872);(51.92711,4.46134);(52.39093,4.917294);(52.38104,4.64759);(52.803657,5.050509);(52.348572,4.919536);(52.235083,5.181552);(52.26798,5.17583);(52.257356,5.235903);(51.969002,4.928);(52.44871,5.61921);(52.13795,4.83819);(52.105031,5.124464);(52.067748,5.120507);(52.20153,4.987444);(52.091801,6.605367);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.388272,6.402933);(52.654144,6.017571);(52.916915,5.573491);(52.875725,6.932432);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937);(52.385422,4.87575);(52.389314,4.943822);(52.381331,4.845233);(52.389983,4.887811);(52.359714,4.866208);(52.358039,4.8997);(52.372056,4.9044);(52.374786,4.860319);(52.320692,4.988397);(52.366811,4.793344);(52.463039,4.601842);(52.493992,4.601986);(52.334003,4.774006);(52.327464,4.715008);(52.279991,4.770773);(52.448011,4.816706);(52.398437,4.728581);(52.428017,4.773478)
Accreditatienummer;https://www.rva.nl/alle-geaccrediteerden/;;;StationsGebied;stad;stad;stad;stad;stad;stad;stad;stad;stad;stad;voorstad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;stad;stad;stad;regionaal;regionaal;stad;regionaal;regionaal;stad;regionaal;stad;stad;regionaal;stad;stad;regionaal;stad;stad;stad;stad;regionaal;stad;stad;stad;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;stad;stad;regionaal;regionaal;regionaal;regionaal;regionaal;stad;stad;stad;stad;stad;stad;stad;stad;stad;stad;stad;stad;stad;stad;stad;regionaal;regionaal;stad;regionaal;stad
;;;;StationsType;verkeer;achtergrond;industrie;verkeer;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;industrie;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;verkeer;achtergrond;verkeer;verkeer;achtergrond;verkeer;achtergrond;verkeer;achtergrond;achtergrond;industrie;industrie;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;industrie
;;;;Meetprincipe;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie;Chemiluminescentie
;;;;Meetopstelling;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Thermo model 42w NO/Nox analyser;Thermo model 42w NO/Nox analyser;Thermo model 42w NO/Nox analyser;Thermo model 42w NO/Nox analyser;Teledyne API 200E chemiluminescent Nox Analyser;Thermo model 42w NO/Nox analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Thermo model 42w NO/Nox analyser;Teledyne API 200E chemiluminescent Nox Analyser;Thermo model 42w NO/Nox analyser;Thermo model 42w NO/Nox analyser;Thermo model 42w NO/Nox analyser;Thermo model 42w NO/Nox analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser;Thermo model 42w NO/Nox analyser;Teledyne API 200E chemiluminescent Nox Analyser;Teledyne API 200E chemiluminescent Nox Analyser
;;;;Accreditatienummer;L520;L520;L520;L520;L520;L520;L520;L520;L520;L520;L520;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;L224;nvt;nvt;nvt;nvt;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426;L426
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL10107;NL10131;NL10133;NL10136;NL10137;NL10227;NL10230;NL10235;NL10236;NL10237;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10441;NL10442;NL10444;NL10445;NL10448;NL10520;NL10537;NL10538;NL10544;NL10547;NL10548;NL10549;NL10620;NL10631;NL10633;NL10636;NL10639;NL10641;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704
NO2;uur;µg/m³;20100101 00:00;20100101 01:00;27.7;30.6;29.5;35;31.5;18.5;18.3;29.7;32.8;19;27;15.29;;19.04;42.17;25.18;10.01;11.54;;16.34;27.91;17.82;14.89;20.5;22.41;;6.15;25.21;33.97;27.4;23.72;5.98;19.76;;;32.41;;8.84;25.11;4.43;;13.46;13.69;;14.54;3.4;3.32;25.08;;5.83;6.87;5.42;29.38;30.66;3.67;5;6;5.31;;;4.95;41;22;41;25;38;32;25;31;11;21;27;10;26;11;;17;18;16
